playlist_id,track_ids
7,17154 5924 8749 13542 14765 4603 10100 4492 20443 11233
25,4202 699 7077 7545 16866 1900 2018 3788 19134 1422
29,8001 2159 15341 12075 3903 9231 18361 56 2508 8138
34,6285 9803 14751 1850 1357 6951 20076 12243 7311 6581
50,20287 20037 15354 12963 17429 8229 19166 13763 10041 6189
52,8838 9441 8456 19173 14827 1935 16293 1357 1434 18254
60,4111 4916 1898 18904 13862 17192 9229 559 1944 14289
64,10089 15038 12507 5604 12765 2203 8437 5726 20532 9717
77,1461 11641 14524 3417 18119 9346 1442 7478 13542 13188
80,14683 18026 10203 16391 9670 3919 7323 15335 11654 19205
106,15474 6103 20263 1591 18096 2497 10848 12278 2873 12436
138,19825 18856 18824 5149 17663 15322 11451 5651 5882 10834
143,20172 8491 4401 868 7506 14277 10251 14826 14732 18920
149,4364 13980 19783 15570 10496 14758 5978 12182 3347 6253
169,7157 19858 18615 6901 11268 9982 14213 4710 6409 13043
180,6433 17515 14453 1111 9034 436 2088 17420 20571 7400
210,19305 14904 16583 394 2006 5751 5429 19075 387 4745
231,508 8640 16457 520 1687 6695 1149 10481 15931 17200
241,5359 10706 4026 1641 18421 4058 1133 7163 15090 7545
244,15209 17096 13237 18728 360 16760 13782 15578 14395 4364
256,19462 1060 14907 18404 8356 13670 16708 2508 18361 12931
258,11366 6253 4364 14591 14395 15209 360 15578 18381 1746
265,8155 11200 16009 20591 13032 14180 3067 11243 5664 3169
268,5817 3855 4743 14149 3750 56 18249 11759 9231 10975
271,19466 19075 5023 14306 8342 394 16100 6788 10691 8033
272,15988 12712 2551 6672 3961 15098 18645 18425 17635 1271
275,13237 10264 14591 11107 6253 17239 360 13980 2674 7619
277,10481 16673 7224 8640 6971 11715 1023 14659 8437 20163
290,14907 2508 12931 18404 19462 13406 16521 1253 4148 11715
310,8749 12164 19243 20443 6557 16973 9676 4603 16451 15498
326,17034 20169 9941 2912 16820 10636 3811 18074 12639 7475
365,8437 16433 12765 14659 20461 13129 13212 20135 7989 13402
392,2674 13139 11070 11107 6933 15578 3885 8956 17786 18440
407,7550 17404 10659 2719 18418 5527 2920 3880 9528 14490
413,15090 15781 37 4058 1714 10269 20169 1641 1023 5564
422,3256 8640 2489 4089 1180 10259 4433 2922 508 13297
432,16930 520 3944 8950 6577 8498 14213 6492 15967 19058
455,13276 11016 4072 395 2807 4201 5527 6915 13573 10249
470,5606 7506 648 12510 14826 2997 868 20172 10848 5141
492,8749 1063 12311 5924 11233 956 20242 14765 10100 19243
495,9963 18743 8749 17820 17200 9508 14668 10100 11074 4148
497,2117 17157 550 13034 541 7009 6253 13006 3885 9941
505,1898 9229 18040 7197 3855 14149 14289 10975 6453 4023
509,5606 16820 8767 2437 2997 9291 8953 12639 7506 1196
514,2740 17096 17972 1494 15670 14591 8481 9061 6253 17881
529,1111 20172 7506 8491 17584 411 8145 11943 16494 4949
