BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4487778251841656, 'feature_weighting': 'TF-IDF'} - results: {'ROC_AUC': 0.08386918583687898, 'PRECISION': 0.03411468474315514, 'RECALL': 0.0329061446903234, 'RECALL_TEST_LEN': 0.03411468474315514, 'MAP': 0.015442336248912407, 'MRR': 0.06036024775045476, 'NDCG': 0.029841676564273178, 'F1': 0.03349951833518413, 'HIT_RATE': 0.1845532559313478, 'ARHR': 0.0694765750823299, 'NOVELTY': 0.006741636997076699, 'DIVERSITY_MEAN_INTER_LIST': 0.7875600494683336, 'DIVERSITY_HERFINDAHL': 0.978748053810544, 'COVERAGE_ITEM': 0.24821904531136418, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.1635323864828303, 'SHANNON_ENTROPY': 8.276368435829413}
BayesianSearch: Best result evaluated on URM_test. Config: {'topK': 200, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4487778251841656, 'feature_weighting': 'TF-IDF'} - results: CUTOFF: 10 - ROC_AUC: 0.1339425, PRECISION: 0.0440968, RECALL: 0.0336021, RECALL_TEST_LEN: 0.0440968, MAP: 0.0215572, MRR: 0.1079190, NDCG: 0.0386723, F1: 0.0381407, HIT_RATE: 0.3739122, ARHR: 0.1393955, NOVELTY: 0.0067354, DIVERSITY_MEAN_INTER_LIST: 0.7908717, DIVERSITY_HERFINDAHL: 0.9790793, COVERAGE_ITEM: 0.2505452, COVERAGE_USER: 0.1981723, DIVERSITY_GINI: 0.1644868, SHANNON_ENTROPY: 8.3114579, 

BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'shrink': 200, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.932318362283467, 'feature_weighting': 'BM25'} - results: {'ROC_AUC': 0.08320561204458249, 'PRECISION': 0.03479772120862475, 'RECALL': 0.03359630397936248, 'RECALL_TEST_LEN': 0.03479772120862475, 'MAP': 0.015404937642041313, 'MRR': 0.05962160364734828, 'NDCG': 0.029908751755772307, 'F1': 0.03418646047811214, 'HIT_RATE': 0.1856638061585058, 'ARHR': 0.06890327155597234, 'NOVELTY': 0.00676597366678478, 'DIVERSITY_MEAN_INTER_LIST': 0.7877605181371657, 'DIVERSITY_HERFINDAHL': 0.9787680986535132, 'COVERAGE_ITEM': 0.2531136418706082, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.17083647638785923, 'SHANNON_ENTROPY': 8.321990809989499}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 50, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8080034888497598, 'feature_weighting': 'TF-IDF'} - results: {'ROC_AUC': 0.07622660913599857, 'PRECISION': 0.030139940546300883, 'RECALL': 0.029088238991386173, 'RECALL_TEST_LEN': 0.030139940546300883, 'MAP': 0.013271155340817105, 'MRR': 0.054028468866934194, 'NDCG': 0.026223949950746908, 'F1': 0.029604752354041627, 'HIT_RATE': 0.16304896516910652, 'ARHR': 0.061472721008309236, 'NOVELTY': 0.006789173190582386, 'DIVERSITY_MEAN_INTER_LIST': 0.7878096276500748, 'DIVERSITY_HERFINDAHL': 0.9787730091089989, 'COVERAGE_ITEM': 0.23998061545917132, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.17291811885840988, 'SHANNON_ENTROPY': 8.304292467042695}
BayesianSearch: New best config found. Config: {'topK': 800, 'shrink': 50, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2963964269970056, 'feature_weighting': 'BM25'} - results: {'ROC_AUC': 0.08354552374542294, 'PRECISION': 0.035115942725735726, 'RECALL': 0.03394278304775938, 'RECALL_TEST_LEN': 0.035115942725735726, 'MAP': 0.015533260418419435, 'MRR': 0.06011886733491991, 'NDCG': 0.030160270820492628, 'F1': 0.03451939815300382, 'HIT_RATE': 0.18647147905098435, 'ARHR': 0.0694154387314409, 'NOVELTY': 0.006747841474437614, 'DIVERSITY_MEAN_INTER_LIST': 0.7874932272583076, 'DIVERSITY_HERFINDAHL': 0.9787413722641725, 'COVERAGE_ITEM': 0.25030288345044827, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.16504148684668501, 'SHANNON_ENTROPY': 8.28086245502373}
BayesianSearch: Best result evaluated on URM_test. Config: {'topK': 800, 'shrink': 50, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2963964269970056, 'feature_weighting': 'BM25'} - results: CUTOFF: 10 - ROC_AUC: 0.1330399, PRECISION: 0.0442969, RECALL: 0.0338362, RECALL_TEST_LEN: 0.0442969, MAP: 0.0215073, MRR: 0.1078240, NDCG: 0.0387456, F1: 0.0383663, HIT_RATE: 0.3752126, ARHR: 0.1389631, NOVELTY: 0.0067417, DIVERSITY_MEAN_INTER_LIST: 0.7907975, DIVERSITY_HERFINDAHL: 0.9790718, COVERAGE_ITEM: 0.2522898, COVERAGE_USER: 0.1981723, DIVERSITY_GINI: 0.1661510, SHANNON_ENTROPY: 8.3154663, 

BayesianSearch: Config is suboptimal. Config: {'topK': 5, 'shrink': 50, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6825096856152917, 'feature_weighting': 'BM25'} - results: {'ROC_AUC': 0.035888560371144955, 'PRECISION': 0.015433563295754097, 'RECALL': 0.015324127270485316, 'RECALL_TEST_LEN': 0.015433563295754097, 'MAP': 0.007744208714203433, 'MRR': 0.026145124716553277, 'NDCG': 0.013698398615226549, 'F1': 0.015378650596142138, 'HIT_RATE': 0.06330136294800606, 'ARHR': 0.028553720663766078, 'NOVELTY': 0.007254876152742423, 'DIVERSITY_MEAN_INTER_LIST': 0.6032296844253038, 'DIVERSITY_HERFINDAHL': 0.9603168782892297, 'COVERAGE_ITEM': 0.3232372183183911, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.16882610250838218, 'SHANNON_ENTROPY': 7.128275780811879}
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9001241938299405, 'feature_weighting': 'none'} - results: {'ROC_AUC': 0.0830034574489396, 'PRECISION': 0.03440145669575242, 'RECALL': 0.033235596442169425, 'RECALL_TEST_LEN': 0.03440145669575242, 'MAP': 0.015143777863754527, 'MRR': 0.059294207671289935, 'NDCG': 0.029645751297458865, 'F1': 0.03380847859918825, 'HIT_RATE': 0.1856638061585058, 'ARHR': 0.06849995593054657, 'NOVELTY': 0.006730500525358118, 'DIVERSITY_MEAN_INTER_LIST': 0.7871338866240594, 'DIVERSITY_HERFINDAHL': 0.9787054418286187, 'COVERAGE_ITEM': 0.24332444875212017, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.15723907990103514, 'SHANNON_ENTROPY': 8.21452383404343}
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'shrink': 500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.004344374661499284, 'feature_weighting': 'none'} - results: {'ROC_AUC': 0.0831743107136849, 'PRECISION': 0.03465064942349134, 'RECALL': 0.03347569703733433, 'RECALL_TEST_LEN': 0.03465064942349134, 'MAP': 0.015175412259244367, 'MRR': 0.05929705215419502, 'NDCG': 0.02972382487807233, 'F1': 0.03405304122435752, 'HIT_RATE': 0.18606764260474506, 'ARHR': 0.06842423659687673, 'NOVELTY': 0.006733597420962637, 'DIVERSITY_MEAN_INTER_LIST': 0.7873326937081597, 'DIVERSITY_HERFINDAHL': 0.97872532052989, 'COVERAGE_ITEM': 0.24274291252725952, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.15793270803169027, 'SHANNON_ENTROPY': 8.22460936438457}
