BayesianSearch: New best config found. Config: {'topK': 300, 'shrink': 300, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.08018827467706614, 'PRECISION': 0.035125118410486385, 'RECALL': 0.03393137058005771, 'RECALL_TEST_LEN': 0.035125118410486385, 'MAP': 0.0137409125127493, 'MRR': 0.056130096860178655, 'NDCG': 0.0283449869254954, 'F1': 0.034517926609846046, 'HIT_RATE': 0.18418661011814602, 'ARHR': 0.0640556653507276, 'NOVELTY': 0.0066650858701394625, 'DIVERSITY_MEAN_INTER_LIST': 0.7899836697117362, 'DIVERSITY_HERFINDAHL': 0.9789903897554844, 'COVERAGE_ITEM': 0.19268233583716984, 'COVERAGE_USER': 0.19630892439440192, 'DIVERSITY_GINI': 0.1485270945115064, 'SHANNON_ENTROPY': 8.05139664256846}
BayesianSearch: Best result evaluated on URM_test. Config: {'topK': 300, 'shrink': 300, 'similarity': 'dice', 'normalize': False} - results: CUTOFF: 10 - ROC_AUC: 0.1251962, PRECISION: 0.0429026, RECALL: 0.0333492, RECALL_TEST_LEN: 0.0429026, MAP: 0.0197089, MRR: 0.0982748, NDCG: 0.0365399, F1: 0.0375274, HIT_RATE: 0.3539062, ARHR: 0.1256727, NOVELTY: 0.0066568, DIVERSITY_MEAN_INTER_LIST: 0.7933441, DIVERSITY_HERFINDAHL: 0.9793265, COVERAGE_ITEM: 0.1936516, COVERAGE_USER: 0.1981723, DIVERSITY_GINI: 0.1494264, SHANNON_ENTROPY: 8.0818071, 

BayesianSearch: Config is suboptimal. Config: {'topK': 10, 'shrink': 1000, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.06358821440993516, 'PRECISION': 0.023868588803456856, 'RECALL': 0.023046499333466478, 'RECALL_TEST_LEN': 0.023868588803456856, 'MAP': 0.010096513228581792, 'MRR': 0.04330886583991693, 'NDCG': 0.02042239861067986, 'F1': 0.023450341363281866, 'HIT_RATE': 0.1249116429364839, 'ARHR': 0.0476777519719052, 'NOVELTY': 0.006946400509489953, 'DIVERSITY_MEAN_INTER_LIST': 0.7715489286678642, 'DIVERSITY_HERFINDAHL': 0.9771471018041926, 'COVERAGE_ITEM': 0.34640174460867457, 'COVERAGE_USER': 0.19630892439440192, 'DIVERSITY_GINI': 0.21907054591235925, 'SHANNON_ENTROPY': 8.603545036301547}
BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 200, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.08199157221877625, 'PRECISION': 0.03525182364170541, 'RECALL': 0.03402906286723804, 'RECALL_TEST_LEN': 0.03525182364170541, 'MAP': 0.013985213798588055, 'MRR': 0.05749275912862713, 'NDCG': 0.028695530470941786, 'F1': 0.03462965280427026, 'HIT_RATE': 0.1845905281227911, 'ARHR': 0.06523965000184348, 'NOVELTY': 0.006680846237291474, 'DIVERSITY_MEAN_INTER_LIST': 0.7903745384970632, 'DIVERSITY_HERFINDAHL': 0.9790294726870435, 'COVERAGE_ITEM': 0.19665616670705113, 'COVERAGE_USER': 0.19630892439440192, 'DIVERSITY_GINI': 0.15517460982767134, 'SHANNON_ENTROPY': 8.111619012573847}
BayesianSearch: Best result evaluated on URM_test. Config: {'topK': 200, 'shrink': 200, 'similarity': 'dice', 'normalize': True} - results: CUTOFF: 10 - ROC_AUC: 0.1270656, PRECISION: 0.0433052, RECALL: 0.0335172, RECALL_TEST_LEN: 0.0433052, MAP: 0.0199783, MRR: 0.0995617, NDCG: 0.0369083, F1: 0.0377877, HIT_RATE: 0.3579074, ARHR: 0.1274213, NOVELTY: 0.0066728, DIVERSITY_MEAN_INTER_LIST: 0.7937424, DIVERSITY_HERFINDAHL: 0.9793663, COVERAGE_ITEM: 0.1977223, COVERAGE_USER: 0.1981723, DIVERSITY_GINI: 0.1560632, SHANNON_ENTROPY: 8.1426300, 

BayesianSearch: Config is suboptimal. Config: {'topK': 600, 'shrink': 1000, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.07832962273737802, 'PRECISION': 0.035021694564257334, 'RECALL': 0.03387864124597728, 'RECALL_TEST_LEN': 0.035021694564257334, 'MAP': 0.013522244013975098, 'MRR': 0.05398332075096686, 'NDCG': 0.02792993348908523, 'F1': 0.03444068630482418, 'HIT_RATE': 0.18236897909724326, 'ARHR': 0.06174788303688641, 'NOVELTY': 0.006648228139859606, 'DIVERSITY_MEAN_INTER_LIST': 0.789315799734908, 'DIVERSITY_HERFINDAHL': 0.9789236095019191, 'COVERAGE_ITEM': 0.18909619578386236, 'COVERAGE_USER': 0.19630892439440192, 'DIVERSITY_GINI': 0.1424888184541992, 'SHANNON_ENTROPY': 7.983539444685952}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 100, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.08147762262197294, 'PRECISION': 0.03415415242134409, 'RECALL': 0.032956707324593444, 'RECALL_TEST_LEN': 0.03415415242134409, 'MAP': 0.013926123553419028, 'MRR': 0.0569016684057581, 'NDCG': 0.028236713732139374, 'F1': 0.03354474699120299, 'HIT_RATE': 0.17893567605776028, 'ARHR': 0.0645822413922991, 'NOVELTY': 0.006717593814070478, 'DIVERSITY_MEAN_INTER_LIST': 0.7908648489418253, 'DIVERSITY_HERFINDAHL': 0.9790784987803893, 'COVERAGE_ITEM': 0.21473225102980373, 'COVERAGE_USER': 0.19630892439440192, 'DIVERSITY_GINI': 0.16860923247923632, 'SHANNON_ENTROPY': 8.247857986311322}
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.07781838997001074, 'PRECISION': 0.03500053695449022, 'RECALL': 0.03385798277440376, 'RECALL_TEST_LEN': 0.03500053695449022, 'MAP': 0.013503220976401307, 'MRR': 0.05346303589260271, 'NDCG': 0.027837510602433044, 'F1': 0.03441978079011042, 'HIT_RATE': 0.1811572250833081, 'ARHR': 0.06130389380162189, 'NOVELTY': 0.006671970114027406, 'DIVERSITY_MEAN_INTER_LIST': 0.7895448545294528, 'DIVERSITY_HERFINDAHL': 0.9789465126683898, 'COVERAGE_ITEM': 0.19985461594378484, 'COVERAGE_USER': 0.19630892439440192, 'DIVERSITY_GINI': 0.14619849877141608, 'SHANNON_ENTROPY': 8.039659634301524}
BayesianSearch: Config is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.04781050795894787, 'PRECISION': 0.01922096719127913, 'RECALL': 0.018685917434621148, 'RECALL_TEST_LEN': 0.01922096719127913, 'MAP': 0.008065676403517756, 'MRR': 0.03224816433692527, 'NDCG': 0.016035210906234422, 'F1': 0.01894966624107131, 'HIT_RATE': 0.09492073109158841, 'ARHR': 0.03545618691786515, 'NOVELTY': 0.007076475356842578, 'DIVERSITY_MEAN_INTER_LIST': 0.7176018019099546, 'DIVERSITY_HERFINDAHL': 0.9717529338837966, 'COVERAGE_ITEM': 0.3530894111945723, 'COVERAGE_USER': 0.19630892439440192, 'DIVERSITY_GINI': 0.2097205969123221, 'SHANNON_ENTROPY': 8.149192787588916}
