BayesianSearch: Testing config: {'topK': 700, 'shrink': 200, 'similarity': 'cosine', 'normalize': True} - Exception unsupported format string passed to Novelty.__format__
BayesianSearch: New best config found. Config: {'topK': 300, 'shrink': 100, 'similarity': 'cosine', 'normalize': False} - results: {'ROC_AUC': 0.12124802527646128, 'PRECISION': 0.07105811569359057, 'RECALL': 0.05985045727383969, 'RECALL_TEST_LEN': 0.07105811569359057, 'MAP': 0.040682638118606625, 'MRR': 0.12007495546368269, 'NDCG': 0.05952805309347283, 'F1': 0.0649745180300285, 'HIT_RATE': 0.2750831904809922, 'ARHR': 0.1373970622836213, 'NOVELTY': 0.003113935183875982, 'DIVERSITY_MEAN_INTER_LIST': 0.9981021420915829, 'DIVERSITY_HERFINDAHL': 0.9996002993038244, 'COVERAGE_ITEM': 0.42999757693239643, 'COVERAGE_USER': 0.19658644887602586, 'DIVERSITY_GINI': 0.4139030991259457, 'SHANNON_ENTROPY': 12.169211073741959}
BayesianSearch: Best result evaluated on URM_test. Config: {'topK': 300, 'shrink': 100, 'similarity': 'cosine', 'normalize': False} - results: CUTOFF: 10 - ROC_AUC: 0.1911596, PRECISION: 0.0886730, RECALL: 0.0792677, RECALL_TEST_LEN: 0.0886730, MAP: 0.0410056, MRR: 0.1522153, NDCG: 0.0731588, F1: 0.0837070, HIT_RATE: 0.5585117, ARHR: 0.1975317, NOVELTY: 0.0062958, DIVERSITY_MEAN_INTER_LIST: 0.9968638, DIVERSITY_HERFINDAHL: 0.9996764, COVERAGE_ITEM: 0.5701478, COVERAGE_USER: 0.1981921, DIVERSITY_GINI: 0.3790957, SHANNON_ENTROPY: 12.4647110, 

BayesianSearch: New best config found. Config: {'topK': 500, 'shrink': 300, 'similarity': 'cosine', 'normalize': False} - results: {'ROC_AUC': 0.14181876239454147, 'PRECISION': 0.08160902154549547, 'RECALL': 0.06864487818106792, 'RECALL_TEST_LEN': 0.08160902154549547, 'MAP': 0.046875315115458345, 'MRR': 0.13888776847837092, 'NDCG': 0.0684880348889923, 'F1': 0.07456766649865926, 'HIT_RATE': 0.31531713219723706, 'ARHR': 0.15858458539208803, 'NOVELTY': 0.003009875886238268, 'DIVERSITY_MEAN_INTER_LIST': 0.9974373870287566, 'DIVERSITY_HERFINDAHL': 0.9994673616976334, 'COVERAGE_ITEM': 0.3464502059607463, 'COVERAGE_USER': 0.19658644887602586, 'DIVERSITY_GINI': 0.36404265050266865, 'SHANNON_ENTROPY': 11.676234929831441}
BayesianSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'shrink': 300, 'similarity': 'cosine', 'normalize': False} - results: CUTOFF: 10 - ROC_AUC: 0.2213611, PRECISION: 0.1038245, RECALL: 0.0915274, RECALL_TEST_LEN: 0.1038245, MAP: 0.0475982, MRR: 0.1772709, NDCG: 0.0846254, F1: 0.0972889, HIT_RATE: 0.6727345, ARHR: 0.2337576, NOVELTY: 0.0060884, DIVERSITY_MEAN_INTER_LIST: 0.9960394, DIVERSITY_HERFINDAHL: 0.9995940, COVERAGE_ITEM: 0.4713351, COVERAGE_USER: 0.1981921, DIVERSITY_GINI: 0.3348364, SHANNON_ENTROPY: 12.0252352, 

BayesianSearch: New best config found. Config: {'topK': 900, 'shrink': 18, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.23863142780112814, 'PRECISION': 0.1316238266951037, 'RECALL': 0.1296429991737709, 'RECALL_TEST_LEN': 0.1316238266951037, 'MAP': 0.057222966429444924, 'MRR': 0.17819803316466828, 'NDCG': 0.10579225409916457, 'F1': 0.13062590398710688, 'HIT_RATE': 0.6115660701647962, 'ARHR': 0.21649724055699004, 'NOVELTY': 0.0056624844336380506, 'DIVERSITY_MEAN_INTER_LIST': 0.9897404765533803, 'DIVERSITY_HERFINDAHL': 0.9989640411799913, 'COVERAGE_ITEM': 0.25330748727889507, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.24869970203914327, 'SHANNON_ENTROPY': 10.692351628910787}
BayesianSearch: Best result evaluated on URM_test. Config: {'topK': 900, 'shrink': 18, 'similarity': 'cosine', 'normalize': True} - results: CUTOFF: 10 - ROC_AUC: 0.2670775, PRECISION: 0.1251205, RECALL: 0.1093782, RECALL_TEST_LEN: 0.1251205, MAP: 0.0576471, MRR: 0.2156545, NDCG: 0.1026001, F1: 0.1167209, HIT_RATE: 0.8299660, ARHR: 0.2892843, NOVELTY: 0.0056653, DIVERSITY_MEAN_INTER_LIST: 0.9897871, DIVERSITY_HERFINDAHL: 0.9989688, COVERAGE_ITEM: 0.2552944, COVERAGE_USER: 0.1981921, DIVERSITY_GINI: 0.2482824, SHANNON_ENTROPY: 10.7004356, 

BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 52, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.15326956685009543, 'PRECISION': 0.08232319585064571, 'RECALL': 0.08129008173300036, 'RECALL_TEST_LEN': 0.08232319585064571, 'MAP': 0.03649414640939221, 'MRR': 0.1120090735043725, 'NDCG': 0.06656871437792915, 'F1': 0.08180337706149209, 'HIT_RATE': 0.3801435648569407, 'ARHR': 0.1353678107241948, 'NOVELTY': 0.006338090902945274, 'DIVERSITY_MEAN_INTER_LIST': 0.9975810101593721, 'DIVERSITY_HERFINDAHL': 0.9997480152712181, 'COVERAGE_ITEM': 0.5743639447540586, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.42141637615298244, 'SHANNON_ENTROPY': 12.651976387775742}
BayesianSearch: Config is suboptimal. Config: {'topK': 1100, 'shrink': 164, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.23629334748761543, 'PRECISION': 0.12910249497298346, 'RECALL': 0.12713136702440875, 'RECALL_TEST_LEN': 0.12910249497298346, 'MAP': 0.056809666375078074, 'MRR': 0.17666617720454425, 'NDCG': 0.10454006381118193, 'F1': 0.12810934935948698, 'HIT_RATE': 0.6019613790314428, 'ARHR': 0.21427006754577047, 'NOVELTY': 0.0056681321056706825, 'DIVERSITY_MEAN_INTER_LIST': 0.9898115587303019, 'DIVERSITY_HERFINDAHL': 0.9989711486790283, 'COVERAGE_ITEM': 0.25088441967530895, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.24857989942829525, 'SHANNON_ENTROPY': 10.684114148530249}
